HotelId,Restaurant Name
1,Le Petit Souffle
2,Izakaya Kikufuji
3,Heat - Edsa Shangri-La
4,Ooma
5,Sambo Kojin
6,Din Tai Fung
7,Buffet 101
8,Vikings
9,Spiral - Sofitel Philippine Plaza Manila
10,Locavore
11,Silantro Fil-Mex
12,Mad Mark's Creamery & Good Eats
13,Silantro Fil-Mex
14,Guevarra's
15,Sodam Korean Restaurant
16,Cafe Arabelle
17,Nonna's Pasta & Pizzeria
18,Balay Dako
19,Hobing Korean Dessert Cafe
20,Wildflour Cafe + Bakery
21,NIU by Vikings
22,The Food Hall by Todd English
23,Chez Michou
24,Cafí© Daniel Briand
25,Casa do Biscoito Mineiro
26,Maori
27,Pizza íæ Bessa
28,Sushi Loko
29,Beirute
30,New Koto
31,Sandubas Cafí©
32,Villa Tevere
34,Rovereto
35,Buena Carne
36,Taco Pep
37,Coco Bambu
38,Taypíç
39,Outback Steakhouse
40,Manzuíç
41,Coco Bambu
42,Gero
43,Brazilian American Burgers
44,Pesqueiro Eco Gourmet
45,Confeitaria Colombo
46,Bibi
47,Cervantes
48,Amir
49,TT Burger
50,Braseiro da Gíçvea
52,Balada Mix
53,Garota de Ipanema
54,Zazíç BistríÇ Tropical
55,Filí© de Ouro
57,D.O.C Ristorante
58,Sushi Leblon
59,Talho Capixaba
60,Leme Light
61,Shirley
62,Quiosque Chopp Brahma
63,Aprazí_vel
64,Aconchego Carioca
65,Garota de Ipanema
66,Cantina Famiglia Mancini
68,Templo da Carne - Marcos Bassi
69,Gopala Hari
70,Jiquitaia
71,Skye - Hotel Unique
72,Les 3 Brasseurs
73,Red Steak & Burger
74,Cantinho da Gula
76,Paris 6 Classique
77,Kawa Sushi
78,A Figueira Rubaiyat
79,Kinoshita
80,Meats
81,Paribar
82,Terraí_o Itíçlia
83,Divino Fogí£o
84,Super Grill
85,Esquina Mocotí_
86,Veloso
87,Sainte Marie Gastronomia
88,Austin's BBQ and Oyster Bar
89,BJ's Country Buffet
92,Cookie Shoppe
93,El Vaquero Mexican Restaurant
94,Elements Coffee Co - Northwest
95,Pearly's Famous Country Cookng
96,Chick-fil-A
97,Guang Zhou Chinese Restaurant
98,Harvest Moon
99,Henry Campbell's Steakhouse
100,Hong Kong Cafe
101,House of China Restaurant II
102,Jimmie's Hot Dogs
103,Locos Grill & Pub
104,Longhorn Steakhouse
105,Mikata Japanese Steakhouse
